area_type,availability,location,size,bath,balcony,price,bhk,total_sqft,price_per_sqft
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,2.0,2.0,81.0,2,1296.0,6250.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,3.0,2.0,38.0,3,1254.0,3030.3030303030305
Super built-up  Area,Ready To Move,Other,1 BHK,1.0,0.0,38.0,1,600.0,6333.333333333333
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,1.0,0.0,48.0,1,660.0,7272.727272727273
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,2.0,2.0,91.79,2,1330.74,6897.665960292769
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,9.0,2.0,200.0,8,600.0,33333.333333333336
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,2.0,0.0,33.0,2,970.0,3402.061855670103
Super built-up  Area,20-Sep,Whitefield,2 BHK,2.0,1.0,94.82,2,1459.0,6498.971898560658
Plot  Area,Ready To Move,KR Puram,2 Bedroom,1.0,1.0,130.0,2,800.0,16250.0
Built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,36.0,2,869.0,4142.692750287687
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,50.0,2,1270.0,3937.0078740157483
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,3.0,1.0,99.0,3,1670.0,5928.143712574851
Built-up  Area,Ready To Move,Whitefield,3 BHK,3.0,2.0,91.0,3,2010.0,4527.363184079602
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,2.0,2.0,75.0,2,1185.0,6329.113924050633
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,2.0,3.0,75.0,3,1600.0,4687.5
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2.0,2.0,44.0,2,1200.0,3666.6666666666665
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,185.0,2,1500.0,12333.333333333334
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,4.0,1.0,150.0,6,1407.0,10660.980810234541
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,45.0,2,840.0,5357.142857142857
Plot  Area,Ready To Move,Other,3 Bedroom,3.0,2.0,240.0,3,4395.0,5460.750853242321
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,55.0,2,845.0,6508.87573964497
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5.0,3.0,650.0,4,5700.0,11403.508771929824
Built-up  Area,Ready To Move,Varthur,2 BHK,2.0,2.0,44.0,2,1160.0,3793.103448275862
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,8.0,0.0,140.0,8,3000.0,4666.666666666667
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,2.0,1.0,62.0,2,1100.0,5636.363636363636
Super built-up  Area,18-Apr,Gunjur,2 BHK,2.0,3.0,43.0,2,1140.0,3771.9298245614036
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2.0,1.0,57.0,2,1220.0,4672.131147540984
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,7.0,0.0,85.0,8,1350.0,6296.2962962962965
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2.0,1.0,36.68,2,1005.0,3649.7512437810947
Plot  Area,Ready To Move,Other,3 Bedroom,3.0,2.0,100.0,3,500.0,20000.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,2.0,1.0,80.58,2,1358.0,5933.726067746687
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,3.0,1.0,101.0,3,1569.0,6437.221159974506
Super built-up  Area,18-Apr,Haralur Road,2 BHK,2.0,1.0,70.0,2,1240.0,5645.1612903225805
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3.0,2.0,140.0,3,2089.0,6701.771182383915
Super built-up  Area,Ready To Move,Kothannur,2 BHK,2.0,1.0,48.23,2,1206.0,3999.1708126036483
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2.0,3.0,40.0,2,1150.0,3478.2608695652175
Built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,205.0,3,2511.0,8164.078056551175
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1.0,0.0,22.0,2,460.0,4782.608695652174
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,6.0,3.0,250.0,6,4400.0,5681.818181818182
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,105.0,3,1660.0,6325.301204819277
Super built-up  Area,19-Mar,Yelahanka,2 BHK,2.0,2.0,78.0,2,1326.0,5882.35294117647
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,2.0,2.0,60.8,3,1325.0,4588.679245283019
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,5.0,2.0,102.0,3,1499.0,6804.536357571715
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,7.0,2.0,210.0,6,3000.0,7000.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3.0,2.0,88.0,3,1665.0,5285.285285285286
Super built-up  Area,17-Sep,Dasanapura,2 BHK,2.0,2.0,37.0,2,708.0,5225.988700564972
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2.0,2.0,58.06,2,1060.0,5477.358490566037
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,6.0,3.0,160.0,6,710.0,22535.211267605635
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,2.0,2.0,70.0,2,1000.0,7000.0
Super built-up  Area,18-Dec,Electronic City,2 BHK,2.0,1.0,28.88,2,1000.0,2888.0
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,70.0,3,1450.0,4827.586206896552
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,4.0,2.0,155.0,4,1200.0,12916.666666666666
Super built-up  Area,17-Aug,Thanisandra,2 BHK,2.0,3.0,80.0,2,1296.0,6172.83950617284
Super built-up  Area,Ready To Move,Domlur,3 BHK,3.0,2.0,90.0,3,1540.0,5844.1558441558445
Plot  Area,Ready To Move,Kengeri,4 Bedroom,4.0,1.0,245.0,4,2894.0,8465.791292328957
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,2.0,1.0,48.0,3,1330.0,3609.0225563909776
Built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,65.0,2,1200.0,5416.666666666667
Built-up  Area,Ready To Move,Other,3 Bedroom,3.0,1.0,90.0,3,1200.0,7500.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,3.0,3.0,138.0,3,2502.0,5515.587529976019
Built-up  Area,Ready To Move,Chandapura,2 BHK,1.0,1.0,17.0,2,650.0,2615.3846153846152
Plot  Area,Ready To Move,Kothanur,3 Bedroom,2.0,1.0,150.0,3,2400.0,6250.0
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,43.0,2,1007.0,4270.109235352532
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,50.0,2,1200.0,4166.666666666667
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,49.9,2,966.0,5165.631469979296
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,2.0,1.0,98.0,3,1630.0,6012.269938650306
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3.0,2.0,229.0,3,1640.0,13963.414634146342
Built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,55.68,2,782.0,7120.204603580562
Super built-up  Area,19-Apr,Devanahalli,2 BHK,2.0,2.0,66.78,2,1260.0,5300.0
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,120.0,3,1800.0,6666.666666666667
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,75.0,3,1413.0,5307.855626326964
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,1.0,51.91,2,1116.0,4651.433691756272
Super built-up  Area,Ready To Move,Electronic City,3 BHK,2.0,1.0,45.9,3,1530.0,3000.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,4.0,1.0,225.0,4,3700.0,6081.081081081081
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,3.0,2.0,140.0,3,2497.0,5606.728073688426
Super built-up  Area,Ready To Move,Kengeri,3 BHK,2.0,3.0,64.0,3,1540.0,4155.8441558441555
Super built-up  Area,18-Dec,Thanisandra,3 BHK,3.0,1.0,74.75,3,1436.0,5205.431754874652
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,2.0,2.0,75.0,2,1100.0,6818.181818181818
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,3.0,3.0,23.0,2,276.0,8333.333333333334
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3.0,2.0,120.0,3,1427.0,8409.250175192712
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,3.0,1.0,200.0,3,2061.0,9704.02717127608
Super built-up  Area,18-Mar,Hebbal,4 BHK,4.0,0.0,477.0,4,5611.5,8500.400962309543
Built-up  Area,Ready To Move,Shampura,4 BHK,4.0,2.0,150.0,4,2650.0,5660.377358490566
Super built-up  Area,22-Dec,Devanahalli,3 BHK,2.0,2.0,68.52,3,1282.0,5344.773790951638
Built-up  Area,Ready To Move,Kadugodi,2 BHK,2.0,1.0,34.0,2,1050.0,3238.095238095238
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,3.0,2.0,65.0,3,1600.0,4062.5
Super built-up  Area,22-Jan,Other,2 BHK,2.0,1.0,54.0,2,945.0,5714.285714285715
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2.0,1.0,78.0,2,1500.0,5200.0
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,7.0,0.0,115.0,7,950.0,12105.263157894737
Built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,110.0,3,1870.0,5882.35294117647
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,3.0,1.0,75.0,3,1600.0,4687.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1.0,1.0,16.5,2,880.0,1875.0
Plot  Area,Ready To Move,Other,4 Bedroom,4.0,0.0,210.0,4,1200.0,17500.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,3.0,2.0,83.0,3,1535.0,5407.166123778502
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2.0,1.0,57.0,2,950.0,6000.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,2.0,1.0,65.0,2,1360.0,4779.411764705882
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,2.0,0.0,54.005,2,1073.5,5030.740568234746
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,3.0,1.0,50.4,3,1280.0,3937.5
Super built-up  Area,19-Jan,Other,3 BHK,2.0,2.0,85.05,3,1260.0,6750.0
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,8.0,2.0,250.0,8,5000.0,5000.0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,5.0,1.0,213.0,5,3050.0,6983.606557377049
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,3.0,1.0,105.0,3,1563.05,6717.635392341896
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,2.0,1.0,60.0,2,1000.0,6000.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,2.0,1.0,43.76,2,1167.0,3749.7857754927163
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,7.0,2.0,225.0,7,4000.0,5625.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,3.0,2.0,110.0,3,1828.0,6017.505470459519
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,2.0,1.0,35.0,2,890.0,3932.5842696629215
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,46.74,3,1612.0,2899.5037220843674
Plot  Area,Ready To Move,Other,6 Bedroom,5.0,2.0,185.0,6,1034.0,17891.682785299807
Super built-up  Area,19-Apr,Mysore Road,3 BHK,4.0,2.0,91.31,3,1710.0,5339.766081871345
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,2.0,1.0,58.0,2,957.0,6060.606060606061
Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,2.0,3.0,44.0,3,1250.0,3520.0
Super built-up  Area,Ready To Move,Other,3 BHK,4.0,2.0,235.0,3,2795.0,8407.871198568873
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2.0,2.0,50.0,2,1125.0,4444.444444444444
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,2.0,1.0,30.6,2,1020.0,3000.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2.0,2.0,50.0,2,1200.0,4166.666666666667
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3.0,3.0,135.0,3,1735.0,7780.979827089337
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3.0,1.0,145.0,3,2050.0,7073.170731707317
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,4.0,0.0,760.0,4,3750.0,20266.666666666668
Built-up  Area,Ready To Move,Other,3 BHK,2.0,3.0,48.0,3,1350.0,3555.5555555555557
Super built-up  Area,18-May,Hosa Road,2 BHK,2.0,1.0,32.0,2,1063.0,3010.348071495767
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,1.0,150.0,3,1904.0,7878.151260504202
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4.0,2.0,420.0,4,4200.0,10000.0
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,1.0,175.0,3,2000.0,8750.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,2.0,0.0,43.49,2,1242.5,3500.201207243461
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,75.0,3,1425.0,5263.1578947368425
Super built-up  Area,Ready To Move,Electronic City,3 BHK,2.0,1.0,64.5,3,1500.0,4300.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,2.0,1.0,60.0,2,1060.0,5660.377358490566
Built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,70.0,3,1470.0,4761.9047619047615
Super built-up  Area,Ready To Move,Other,6 BHK,6.0,0.0,99.0,6,1300.0,7615.384615384615
Super built-up  Area,Ready To Move,Attibele,1 BHK,1.0,1.0,11.0,1,450.0,2444.4444444444443
Super built-up  Area,18-Apr,Electronic City,2 BHK,2.0,1.0,64.5,2,1152.0,5598.958333333333
Super built-up  Area,Ready To Move,Electronic City,3 BHK,2.0,1.0,56.0,3,1350.0,4148.148148148148
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,3.0,3.0,65.0,3,1550.0,4193.548387096775
Plot  Area,Ready To Move,Other,3 Bedroom,3.0,2.0,100.0,3,1500.0,6666.666666666667
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,3.0,2.0,85.0,5,600.0,14166.666666666666
Plot  Area,Ready To Move,Nagavara,1 Bedroom,1.0,0.0,14.0,1,400.0,3500.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,1.0,2.0,67.0,1,705.0,9503.54609929078
Built-up  Area,Ready To Move,Electronic City,2 BHK,1.0,1.0,36.0,2,770.0,4675.324675324675
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2.0,3.0,51.0,2,1242.0,4106.280193236715
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,3.0,2.0,155.0,3,1700.0,9117.64705882353
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3.0,2.0,145.0,3,2144.0,6763.059701492537
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,3.0,2.0,110.0,3,1704.0,6455.399061032864
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2.0,1.0,52.0,2,1070.0,4859.813084112149
Plot  Area,Ready To Move,Other,3 Bedroom,3.0,2.0,300.0,3,1846.0,16251.354279523293
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,55.7,2,1340.0,4156.7164179104475
Built-up  Area,Ready To Move,Electronic City,2 BHK,2.0,1.0,46.0,2,1025.0,4487.804878048781
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2.0,0.0,56.8,2,1277.5,4446.183953033268
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2.0,2.0,52.0,2,1200.0,4333.333333333333
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,4.0,1.0,110.0,4,2250.0,4888.888888888889
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,2.0,3.0,80.0,3,1550.0,5161.290322580645
Plot  Area,Ready To Move,Bellandur,4 Bedroom,5.0,2.0,325.0,4,1200.0,27083.333333333332
Plot  Area,Ready To Move,Other,7 Bedroom,7.0,1.0,250.0,7,1800.0,13888.888888888889
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2.0,2.0,60.0,2,1200.0,5000.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2.0,2.0,98.0,2,1327.0,7385.079125847777
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2.0,2.0,58.0,2,1186.0,4890.387858347386
Built-up  Area,Ready To Move,Other,3 Bedroom,3.0,1.0,115.0,3,1783.0,6449.8037016264725
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,3.0,2.0,56.0,3,1400.0,4000.0
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,2.0,1.0,48.0,2,980.0,4897.959183673469
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,2.0,2.0,82.0,2,1285.0,6381.322957198444
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,1.0,70.0,3,912.0,7675.438596491228
Built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,2.0,47.6,2,1225.0,3885.714285714286
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,1.0,53.0,2,1075.0,4930.232558139535
Built-up  Area,Ready To Move,Kadugodi,3 BHK,2.0,2.0,54.0,3,1260.0,4285.714285714285
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,2.0,2.0,48.7,3,1282.0,3798.751950078003
Super built-up  Area,Ready To Move,Kogilu,3 BHK,3.0,2.0,88.0,3,1909.0,4609.743321110529
Super built-up  Area,Ready To Move,Panathur,2 BHK,2.0,1.0,87.0,2,1359.0,6401.766004415011
Built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,43.5,2,1207.0,3603.976801988401
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,6.0,0.0,190.0,4,1736.0,10944.700460829494
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,4.0,1.0,428.0,4,2850.0,15017.543859649122
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,3.0,2.0,65.0,3,1595.0,4075.2351097178685
Built-up  Area,18-Jun,Other,3 BHK,3.0,2.0,89.0,3,1798.0,4949.944382647386
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3.0,2.0,78.29,3,1475.0,5307.796610169492
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,100.0,3,1580.0,6329.113924050633
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,2.0,1.0,65.0,2,1295.0,5019.305019305019
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,6.0,0.0,141.0,6,3600.0,3916.6666666666665
Super built-up  Area,Ready To Move,Electronic City,1 BHK,1.0,1.0,27.0,1,589.0,4584.040747028863
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,78.0,3,1415.0,5512.367491166077
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,3.0,2.0,98.29,3,1787.0,5500.279798545048
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3.0,2.0,125.0,3,1787.0,6994.963626189144
Super built-up  Area,Ready To Move,Koramangala,3 BHK,2.0,3.0,90.0,3,1475.0,6101.6949152542375
Built-up  Area,Ready To Move,Other,4 BHK,4.0,1.0,75.5,4,2000.0,3775.0
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,2.0,1.0,44.28,2,984.0,4500.0
Super built-up  Area,Ready To Move,Other,3 BHK,4.0,2.0,260.0,3,2405.0,10810.81081081081
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2.0,2.0,72.0,2,1080.0,6666.666666666667
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,1.0,115.0,2,1500.0,7666.666666666667
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3.0,2.0,119.0,3,1900.0,6263.1578947368425
Super built-up  Area,19-Aug,Dommasandra,2 BHK,2.0,1.0,22.14,2,805.0,2750.3105590062114
Super built-up  Area,Ready To Move,Budigere,2 BHK,2.0,2.0,56.4,2,1153.0,4891.587163920208
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,60.0,2,1148.0,5226.480836236934
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,55.0,2,1110.0,4954.954954954955
Built-up  Area,Ready To Move,Electronic City,2 BHK,2.0,2.0,42.0,2,1100.0,3818.181818181818
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,2.0,2.0,110.0,2,1290.0,8527.131782945737
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,1.0,65.0,3,1500.0,4333.333333333333
Super built-up  Area,18-Apr,Other,2 BHK,2.0,2.0,39.0,2,1080.0,3611.1111111111113
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,3.0,1.0,129.0,3,1933.0,6673.564407656492
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,5.0,2.0,150.0,5,3500.0,4285.714285714285
Built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,60.0,2,1060.0,5660.377358490566
Super built-up  Area,18-Aug,Chandapura,1 BHK,1.0,1.0,16.45,1,645.0,2550.3875968992247
Plot  Area,Ready To Move,Other,8 Bedroom,8.0,2.0,180.0,8,2600.0,6923.076923076923
Super built-up  Area,18-Sep,Chandapura,1 BHK,1.0,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,84.0,3,1644.0,5109.489051094891
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,3.0,72.5,2,1285.0,5642.023346303502
Plot  Area,Ready To Move,Electronic City,3 Bedroom,3.0,1.0,90.0,3,1200.0,7500.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2.0,1.0,40.0,2,910.0,4395.604395604396
Super built-up  Area,Ready To Move,Kothanur,3 BHK,3.0,1.0,70.0,3,1577.0,4438.807863031072
Plot  Area,17-May,Other,3 Bedroom,3.0,2.0,280.0,3,4050.0,6913.580246913581
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,3.0,2.0,185.0,3,2420.0,7644.628099173554
Super built-up  Area,Ready To Move,Chandapura,2 BHK,1.0,1.0,20.0,2,800.0,2500.0
Built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,55.0,2,1060.0,5188.679245283019
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2.0,2.0,93.0,2,1270.0,7322.834645669292
Super built-up  Area,18-Jun,Other,2 BHK,2.0,2.0,22.5,2,900.0,2500.0
Built-up  Area,Ready To Move,Other,2 Bedroom,2.0,1.0,69.0,2,1280.0,5390.625
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,2.0,0.0,95.0,4,1200.0,7916.666666666667
